country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,46.1,,
Angola,,,,,,,,,,,,,,,,,25.9,
Armenia,,,,,,,,,,,,,,,,,3.5,
Austria,,,,,,,,,,,,,4,,,,,
Azerbaijan,,,,,,,9.8,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,28.8,,
Belgium,,,,,,,,,,,,,8,,,,,
Bolivia,,,,,,,,,,,,,,,,,27.1,
Bulgaria,,,,,,,,,,,,,9,,,,,
Burkina Faso,,,,,,,,,,,9.3,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,27.9
Cambodia,,,,,,,,,,,,,,,10.9,,,
Cameroon,,,,,,,,,,,,,,,32.7,,,
Cape Verde,,,,,,7.8,,,,,,,,,,,,
Central African Republic,,,,,,,26.3,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,17.5,,
Colombia,,,,,,,,,,,,,,,,18.4,,
Comoros,,,,,,,,,,,,,4.9,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,36.8,,,
Cote d'Ivoire,,,,,,,,,,,,,22,,,,,
Croatia,,,,,,,,,,,,,4,,,,,
Cyprus,,,,,,,,,,,,,3,,,,,
Czech Republic,,,,,,,,,,,,,6,,,,,
Denmark,,,,,,,,,,,,,7,,,,,
Dominican Republic,,,,,,,,,,,,,,16,,,,
Ecuador,,,,,,,,,,,,10.8,,,,,,
Egypt,,,,,,,,,,,,,,,14,,,
El Salvador,,,,,,,,,,,,,,,6.7,,,
Equatorial Guinea,,,,,,,,,,,,43.6,,,,,,
Estonia,,,,,,,,,,,,,4,,,,,
Ethiopia,,,,,,,,,,,,,,,,,19.8,
Fiji,,,,,,,,,,,,29.7,,,,,,
Finland,,,,,,,,,,,,,8,,,,,
France,,,,,,,,,,,,,7,,,,,
Gabon,,,,,,,,,,,,,31.5,,,,,
Gambia,,,,,,,,,,,,,,7.3,,,,
Germany,,,,,,,,,,,,,5,,,,,
Ghana,,,,,,,,,19.2,,,,,,,,,
Greece,,,,,,,,,,,,,8,,,,,
Guatemala,,,,,,,,,,,,,,,,8.9,,
Haiti,,,,,,,,,,,,,,,,,,13.9
Honduras,,,,,,,,,,,,,11,,,,,
Hungary,,,,,,,,,,,,,8,,,,,
India,,,,,,,,,,,,,,,,,22,
Ireland,,,,,,,,,,,,,4,,,,,
Italy,,,,,,,,,,,,,7,,,,,
Jamaica,,,,,,,,,,,,,,,,,8.52,
Jordan,,,,,,,,,,,,,14.1,,,,,
Kenya,,,,,,,,,,,,,,,25.5,,,
Kiribati,,,,,,,,,36.1,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,17.1,,,,,
Lao,,,,,,,,,,,,,,,6.4,,,
Latvia,,,,,,,,,,,,,7,,,,,
Liberia,,,,,,,,35,,,,,,,,,,
Lithuania,,,,,,,,,,,,,6,,,,,
Luxembourg,,,,,,,,,,,,,3,,,,,
Malawi,,,,,,,,,,,,,,,,,24.3,
Maldives,,,,,,,6.4,,,,,,,,,,,
Mali,,,,,,,21.5,,,,,,,,,,,
Malta,,,,,,,,,,,,,5,,,,,
Marshall Islands,,,,,,,,,,,,,,,20.1,,,
Mexico,,,,,,,,,,,,,,,,,9.5,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,26,,,
Moldova,,,,,,14.6,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,14.7
Mozambique,,,,,,,,,,,,,,,,15.5,,
Myanmar,,,,,,,,,,,,,,,,,11,
Namibia,,,,,,,,,,,,,,20.2,,,,
Nepal,,,,,,,,,,,,,,,,,11.2,
Netherlands,,,,,,,,,,,,,7,,,,,
Nicaragua,,,,,,,,,,,,,7.5,,,,,
Nigeria,,,,,,,,,,,,,,11,,,,
Palau,,,,,,,,,,,,,,9.6,,,,
Panama,,,,,,,,,,10.1,,,,,,,,
Paraguay,,,,,,,,,8,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,10.8,
Philippines,,,,,,,,,,,,,,,,,,5.5
Poland,,,,,,,,,,,,,3,,,,,
Portugal,,,,,,,,,,,,,6,,,,,
Romania,,,,,,,,,,,,,7,,,,,
Rwanda,,,,,,,,,,,,,,,,20.7,,
Samoa,22,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,26.3,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,12.2
Sierra Leone,,,,,,,,,,,,,,28.7,,,,
Slovak Republic,,,,,,,,,,,,,8,,,,,
Slovenia,,,,,,,,,,,,,2,,,,,
Solomon Islands,,,,,,,,,41.8,,,,,,,,,
Spain,,,,,,,,,,,,,2,,,,,
Sweden,,,,,,,,,,,,,6,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,19
Tanzania,,,,,,,,,,,,,,,,,29.6,
Timor-Leste,,,,,,,,,,,,,,,,,34.6,
Togo,,,,,,,,,,,,,,,12.7,,,
Tonga,,,,,,,,,,18.9,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,6.74
Turkey,,,,,,,,,,,,,,,11,,,
Tuvalu,,,,,,,,25,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,29.9,
Ukraine,,,,,,,,10.2,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,6,,,,,
Uruguay,,,,,,,,,,,,,,2.8,,,,
Vanuatu,,,,,,,,,,44,,,,,,,,
Vietnam,,,,,,,,,,,10.8,,,,,,,
Zambia,,,,,,,,,,,,,,,26.7,,,
Zimbabwe,,,,,,,,,,,,,,,,19.9,,
